candidate,rmse_mg_L,interpretability_cost,optional_keep_probability
122,2.978640842280869,35.81532197301732,0.9328521616304648
123,6.108707833217094,18.783099357440427,0.33397102357275116
124,3.5028049976930644,30.88144754604032,0.8529742309105318
125,6.27720425466269,10.856705368577746,0.06550529708327169
126,3.1257941779518497,32.78273548185054,0.8880281231682633
127,3.4740063735021756,34.85671852830789,0.819112379062667
128,5.262376729878913,23.781973945423793,0.5517674664320046
129,3.087157312163966,35.8262997144596,0.9398783390901828
130,4.89007281722168,15.78204179303974,0.20408808825159352
131,5.914557774230667,10.818062971565386,0.11070678708018103
132,2.9930304992368213,36.81276384394497,0.9700752136697919
133,5.562007119518606,22.82624460813068,0.3872224081007861
134,3.8048250718035264,29.80926274810926,0.7591025110753358
135,5.10895716066715,15.771729502204277,0.2911328486388994
136,5.026444779503989,27.768290030618065,0.7152676313794789
137,5.712128930099016,15.82998559494735,0.17900445458816844
138,4.990395601269575,16.848751491185507,0.37067556767852555
139,3.276892833988564,31.776620313707845,0.8064781380265617
140,5.054429766702208,18.794077779389582,0.31407205799348703
141,4.406576708250145,27.827232604325218,0.5434082053640855
142,5.1372839808992445,19.856351973597892,0.45624993196097285
143,3.8205180680320443,29.837166770591242,0.8061800663743813
144,4.072451600477115,15.841177006940146,0.4212604877772282
145,6.180807215296568,23.80809902767037,0.3971345998372764
146,3.294004473541613,33.84881701119173,0.9150140753409819
147,3.7278153218039036,34.83550025310937,0.8545356073918076
148,4.454621092569963,21.80651779625915,0.44070638421742253
149,4.183756249815673,28.779824027451138,0.6944932652826388
150,5.440988841609176,22.81528362570214,0.43400054174299163
151,3.332071093899618,33.77835257247997,0.8039089855398625
152,5.81105400470427,9.799120869415752,0.07909808946200408
153,4.3264089547777695,20.85185963194072,0.5170821264630945
154,5.996961853633737,11.816068353291614,0.18754043736315423
155,5.746179605777853,12.836171408512422,0.17058183163417706
156,3.1223209429966197,33.81378488552334,0.9511620307170656
157,4.183258762811606,24.79645617219256,0.6005704958870987
158,6.53591456535331,14.847582361477368,0.18980374757116764
159,3.133990281492369,36.77002357840934,0.969499110826493
160,3.0022757246034653,35.83675272548913,0.9552400690396666
161,3.909465650753219,23.835334554164422,0.5596278238716895
162,3.058023655506089,33.80167010210425,0.7664367398506332
163,4.4493376865046335,19.777639029143124,0.4884311613994476
164,4.492505311074707,24.832667924787835,0.5913794425649678
165,3.0698176478130756,36.828719372420544,0.9903863907662726
166,4.214717943155225,24.747837899909463,0.49324124047804935
167,4.4402510167573634,23.837248761577413,0.5671020390939088
168,6.195660955564398,14.804280509305094,0.18239342737935577
169,4.470874427596213,21.757450147482604,0.4518434652423553
170,6.8277953937042115,15.823025507261772,0.14566147908594435
171,4.772682500697804,23.82549762458893,0.3968418389802949
172,5.591589752299714,13.829845182816326,0.251724333587102
173,5.695893696170543,12.770107589679306,0.12724009957723964
174,3.754803203007303,31.789883950880643,0.7117942826179812
175,5.204166900460642,16.846138443052165,0.29396868269839277
176,4.337965805698647,34.83347599633019,0.9240045917375935
177,4.259746234194905,22.79532300710467,0.5106883450167211
178,5.638450321493439,18.790249152021588,0.39087242052358073
179,5.147754594124249,21.812899372431836,0.4281759711331475
180,6.289767372905654,14.778071384096245,0.2952616591584743
181,4.619699306118641,17.85558474402156,0.2734227404355657
182,5.3081644868224656,19.834249120538388,0.4720576876499286
183,6.020202196270576,16.82226029677535,0.3494653862298105
184,3.3153084525322414,36.76192034288774,0.9696764486682279
185,3.235511140816719,33.77516053370272,0.807566530397695
186,4.194424909496525,21.797325047426135,0.5265648865921637
187,5.60691775865468,14.783056319944171,0.16692380779481797
188,4.054059943559526,28.812092127274823,0.6988559088688752
189,2.938046964476227,36.82195107462354,0.9753814121285644
190,4.906354592474957,21.82444166114479,0.513567843530276
191,6.40311292746726,11.813266978165997,0.0623362877539288
192,3.88325012482134,27.791533813874352,0.6116678498723226
193,4.4082551365584735,19.79382900892197,0.41985836546764854
194,3.9811064859447645,27.811950327288393,0.705778503051483
195,5.3736776224131475,18.795965733588357,0.39867362734288475
196,3.1876182546036933,30.81386875675693,0.7762068177677048
197,6.022876596181884,16.82478851084859,0.16336923145297222
198,3.6667090238227353,32.79586833549426,0.9253526733515697
199,3.8077389434591242,29.819190359353268,0.8418819253309311
200,4.288385458525775,28.821480107112823,0.7162977223978569
